"name","inn","revenue","site","cat_evidence","source","OKVED"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ТРАКТАТ»","7725318562","246 327 000","http://tractat.ru/","На сайте есть упоминание в ""Критерии выбора профессионального бюро переводов""","РБК Компании","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью «Бюро переводов ЭмТиЭй»","7703582806","146 043 000","https://www.mtagency.ru/ru/","https://gxp-translation.ru/vacancies/","РБК Компании","Код 74.30: Деятельность по письменному и устному переводу"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ТРАКТАТ24»","7716800949","137 651 000","https://awatera.com/","https://hh.ru/vacancy/128742480?utm_source=rabota-ipoisk.ru&utm_medium=ppc&utm_campaign=dm-aggregators-main_b2c-rf-paid_cpc_applicant_feed_magic=1","РБК Компании","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью «Проф Лингва»","7721690184","133 601 000","https://proflingva.ru/","Значаться клиентами  https://qtrm.ru/clients/113-prof-lingva.html","РБК Компании","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью ""АЛЬЯНС ГРУПП""","7705776927","114 782 000","https://agtc.ru/","Есть упоминание специалиста в области технического перевода и информационных технологий в переводе  https://priem.mai.ru/base/programs/perevod-i-perevodovedenie-v-aerokosmicheskoy-otrasli/","РБК Компании","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью ""РУФИЛМС""","7721570345","53 421 000","https://rusubtitles.com/","Значаться клиентами https://qtrm.ru/clients","Ресурс БФО","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью ""ВАЙЛДБЕРРИЗ""","7721546864","657 482 218 000","https://www.wildberries.ru/","https://hh.ru/vacancy/123603245","Ресурс БФО","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью ""ИНТЕРНЕТ РЕШЕНИЯ""","7704217370","261 369 829 000","https://www.ozon.ru/highlight/podarki-new-year/","Действуют за рубежом где требуется локализация, конкуренты используют cat-системы","Ресурс БФО","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью ""АГЕНТСТВО ""ТРАНСЛИНК""""","7714310057","100 626 000","http://trans-lit.ru/","https://qtrm.ru/clients","Ресурс БФО","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью ""КОМПАНИЯ ЭГО ТРАНСЛЕЙТИНГ""","7825496015","102 837 000","https://egotranslating.com/","https://qtrm.ru/clients","Ресурс БФО","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью «Платежный»","7701870710","264 691 000","https://payture.com/contacts","Локализация интерфейсов платежных шлюзов, мобильных приложений, документации для международных рынков. Автоматизация критична для снижения рисков ошибок в финансовых терминах.","РБК Компании","Код 63.1: Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет"
"Общество с ограниченной ответственностью «М2М телематика - Алтай»","2225098863","141 529 000","https://m2m-altai.ru/","динамические обновления интерфейсов, работа с технической документацией, требования к консистентности терминов.","РБК Компании","Код 63.1: Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет"
"Общество с ограниченной ответственностью «Сравни.ру»","7710718303","7 854 989 000","https://www.sravni.ru/","Постоянные обновления контента, работа с 10+ языковыми версиями, необходимость консистентности финансовых терминов. Экономия за счет TM-повторов критична для частых релизов.","РБК Компании","Код 63.1: Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ЦТМ-ЛИНГВА»","274949344","138 954 000","https://mmc02.ru/#","локализация технической документации, инструкций по эксплуатации и CAD-чертежей для промышленных предприятий.","РБК Компании","Код 63.1: Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет"
"Общество с ограниченной ответственностью «МАК-ЮНИТ»","4029048130","507 550 000","https://www.mak-unit.ru/","контроль качества и экономия на TM-повторах","РБК Компании","Код 74.30: Деятельность по письменному и устному переводу"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ЛИНГВИСТ»","7715653272","120 273 000","http://www.bplingvist.ru/index.php","Локализация технической документации, юридических материалов, веб-сайтов и мобильных приложений для корпоративных клиентов. скидки за повторы и 100% совпадения из TM","РБК Компании","Код 74.30: Деятельность по письменному и устному переводу"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ЭДВИЗОР»","7707446755","116 217 000","https://tutortop.ru/","Как IT-компания с образовательной платформой, может использовать CAT-системы для локализации интерфейса и учебных материалов","РБК Компании","Код 62.01 Разработка компьютерного программного обеспечения"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ГЕТБЛОГГЕР»","7709975183","1 440 723 000","https://new.getblogger.ru/cpp","Необходимость локализации рекламных креативов для разных стран требует использования CAT-систем для обеспечения скорости, качества и учета культурных особенностей.","РБК Компании","Код 63.12: Деятельность web-порталов"
"Общество с ограниченной ответственностью «Информационное агентство «Банки.ру»","7723527345","3 779 071 000","https://www.banki.ru/","Как крупный финансовый портал может использовать CAT-системы для локализации интерфейса и контента для международных пользователей","РБК Компании","Код 63.12: Деятельность web-порталов"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «А3 ИНЖИНИРИНГ»","7719455867","332 367 000","https://a3-eng.com/","Локализация технической документации, руководств по эксплуатации и программного обеспечения для оборудования","РБК Компании","Код 71.20: Технические испытания, исследования, анализ и сертификация"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ЭЛЕКТРОННЫЕ ПЕРЕДОВЫЕ ТРАНСПОРТНЫЕ СЕТИ»","7805698895","338 348 000","https://e-pts.ru/","Локализация технических паспортов, инструкций по эксплуатации и отчетов по испытаниям транспортных средств для международных рынков.","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"Общество с ограниченной ответственностью «Тихвинский испытательный центр железнодорожной техники»","4715027946","301 559 000","https://www.railtest.ru/","Локализация технической документации, отчетов по испытаниям и нормативной базы для международных партнеров","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ТЮФ АУСТРИЯ СТАНДАРТЫ И СООТВЕТСТВИЕ»","7743912560","234 148 000","https://tuv-austria.ru/","Локализация нормативно-технической документации, сертификатов соответствия и отчетов по испытаниям для международных клиентов.","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ЭС КЛАУД»","5047285505","247 871 000","https://s-cloud.tech/","Потенциальная локализация IT-продуктов, интерфейсов программного обеспечения и технической документации для международных клиентов","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «СОФТ-М ЭКСПЕРТ»","9715395716","227 518 000","https://soft-m-expert.ru/","Локализация интерфейсов ПО, технической документации и пользовательских руководств для международных рынков. Автоматизация критична для обеспечения консистентности терминологии и интеграции в DevOps-процессы.","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"Общество с ограниченной ответственностью «Спецтехнологии»","5406528425","226 537 000","https://stzi54.ru/","Потенциальная локализация документации по безопасности и интерфейсов для международных клиентов","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"Общество с ограниченной ответственностью «ОЛФАРМ»","7707599215","205 434 000","https://olpharm.ru","Локализация медицинской документации, инструкций по применению и регистрационных материалов для международных рынков.","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"Общество с ограниченной ответственностью «ИСО Технологии»","3905073427","201 791 000","https://isoteh.ru/","Локализация стандартов ИСО, руководств по качеству и отчетов по аудитам для международных клиентов.","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «МЕЖДУНАРОДНЫЙ ИНСТИТУТ СВАРКИ И КОНТРОЛЯ»","2311072259","186 943 000","https://мисик.рф/","Локализация стандартов сварки, учебных материалов и сертификатов соответствия для международных партнеров.","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"Общество с ограниченной ответственностью «Глобал Майнинг Эксплозив - Раша»","5030071939","195 495 000","https://zoon.ru/msk/law/kompaniya_global_majning_eksploziv-rasha/","Локализация инструкций по эксплуатации взрывного оборудования, технических паспортов и документов по безопасности для российского рынка.","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ГЛОБАЛЬНОЕ СООТВЕТСТВИЕ»","7731458180","173 529 000","https://gccert.ru/","Локализация международных стандартов, сертификатов соответствия и отчетов по аудитам для международных клиентов","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИСПЫТАТЕЛЬНЫЙ ЛАБОРАТОРНЫЙ ЦЕНТР «МЕДТЕСТПРИБОР»","7722818581","168 125 000","www.mtp-lab.ru","Локализация инструкций по применению медицинских изделий, протоколов испытаний и регистрационной документации.","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «РУССКИЙ РЕГИСТР- СЕРТИФИКАЦИЯ»","7839041240","163 800 000","https://rusregister.ru/","Локализация международных стандартов, сертификатов соответствия и отчетов по аудитам для глобальных клиентов","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"Общество с ограниченной ответственностью «Национальный научный центр токсикологической и биологической безопасности медицинских изделий»","7716622220","165 799 000","https://toxicolog.ru/","Локализация протоколов клинических испытаний, отчетов по безопасности, инструкций по применению для регистрации в разных странах","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"Общество с ограниченной ответственностью «ВЭД- Информ»","2224066562","162 005 000","https://vedinform.com/","Локализация коммерческой документации, сертификатов, контрактов для международных поставок","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"АКЦИОНЕРНОЕ ОБЩЕСТВО «НЕЗАВИСИМЫЙ ИНСТИТУТ ИСПЫТАНИЙ МЕДИЦИНСКОЙ ТЕХНИКИ»","7725692111","159 146 000","https://www.vniiimt.ru/","Локализация инструкций по применению медицинской техники, протоколов испытаний и регистрационной документации для международных рынков","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ФАРМСОЛ»","7709490319","154 466 000","https://pharm-sol.com/","Локализация инструкций по применению лекарственных препаратов, клинических исследований и патентной документации для международных рынков.","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ «РОССИЙСКАЯ СИСТЕМА КАЧЕСТВА»","9705044437","153 325 000","https://roskachestvo.gov.ru/","Локализация стандартов менеджмента качества и методических материалов для российских предприятий","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ «ЦЕНТР ИССЛЕДОВАНИЙ, СЕРТИФИКАЦИИ И ТЕХНИЧЕСКИХ ИСПЫТАНИЙ «ТЕХНОЛОГИИ ПОДВОДНОЙ ДОБЫЧИ УГЛЕВОДОРОДОВ»","7810705717","151 385 000","https://tpdu.ru/","Потенциальная локализация технической документации по оборудованию для подводной добычи для международных партнеров.","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ИНФОТЕХРАЗВИТИЕ»","7731253842","144 216 000","https://www.infotr.ru/","Локализация интерфейсов ПО, технической документации и пользовательских руководств для международных рынков","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"Общество с ограниченной ответственностью «Сибирский центр декларирования и сертификации»","5406533961","143 146 000","https://scdsnsk.ru/","Локализация сертификатов соответствия, протоколов испытаний и технической документации для международных клиентов.","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"АКЦИОНЕРНОЕ ОБЩЕСТВО «НАУЧНО-ИСПЫТАТЕЛЬНЫЙ ЦЕНТР ОБОРУДОВАНИЯ АТОМНЫХ ЭЛЕКТРОСТАНЦИЙ»","5019021966","129 728 000","https://niaes.ru/","Локализация технической документации, отчетов по испытаниям и сертификатов для международных партнеров и регуляторов","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"АКЦИОНЕРНОЕ ОБЩЕСТВО «ЛЕТНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР «НИМБУС»","5405246820","128 853 000","https://nimbusavia.ru/","Локализация авиационной документации, отчетов по летным испытаниям и научных материалов для международных публикаций","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"АКЦИОНЕРНОЕ ОБЩЕСТВО «РУССКИЙ ИСПЫТАТЕЛЬНЫЙ ЦЕНТР»","4632114962","127 716 000","https://rictest.ru/","Потенциальная локализация сертификатов соответствия и протоколов испытаний для международных клиентов","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"Общество с ограниченной ответственностью «Комплекс логистической системы»","5047135595","119 017 000","https://cls-msk.com/","Локализация грузовой документации, таможенных деклараций и сопроводительных материалов для международных перевозок","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ЕВРАЗИЙСКИЙ ЦЕНТР ЭКСПЕРТИЗЫ»","5752082062","124 792 000","https://euro-experts.ru/","Локализация экспертных заключений и технической документации для стран ЕАЭС","","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"Общество с ограниченной ответственностью «Научно-Техническая Компания «Эспадон»","7722734846","119 984 000","https://zoon.ru/msk/internet/nauchno-tehnicheskaya_kompaniya_espadon/","Локализация интерфейсов специализированного ПО, технической документации и руководств пользователя для международных клиентов","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ «ЕВРАЗИЙСКАЯ СЕРТИФИКАЦИОННАЯ КОМПАНИЯ»","9729008420","115 961 000","https://ecert.ru/","Локализация стандартов, сертификатов соответствия и отчетов по аудитам для стран ЕАЭС","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «СЕРТИФИКАЦИЯ ПРОДУКЦИИ»","6027145117","110 760 000","http://sert-prod24.ru/kontaktyi.html","подготовка сертификатов на разных языках для экспортной продукции","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ЦЕНТР СЕРТИФИКАЦИИ МИКРОЭЛЕКТРОНИКИ»","7724462531","106 541 000,0 ₽","https://certelectro.ru/","Локализация технических спецификаций,datasheets и сертификатов для российских производителей микроэлектроники","РБК Компании","Код 71.21: Технические испытания, исследования, анализ и сертификация"
